,0,1,2,3,4,5,6,7
0,0.182878,-0.033542324,0.022404548,-0.36659572,-0.29262412,0.16217752,-0.09565391,0.21167503
1,-0.20899737,-0.11704754,0.32474598,-0.071583,0.1476502,0.086840875,-0.32194456,-0.3244326
2,-0.36921573,-0.15295483,0.12558804,0.12889564,-0.09866307,0.06851033,-0.29087386,0.11248835
3,-0.24946171,0.092067875,-0.31148884,0.075370885,-0.34443977,-0.0434514,0.08232747,0.29953843
4,-0.3142529,-0.16968806,-0.28914648,0.20916098,-0.3342926,-0.18524712,-0.13939996,0.08094465
5,0.21907517,0.06087921,-0.26387772,0.14910243,-0.29606402,0.12433032,0.10494365,-0.36453873
6,-0.00017034632,0.13257979,-0.22642654,0.16347595,-0.21431541,-0.23365523,0.23938905,0.029746782
7,-0.04762785,-0.30636716,-0.2281518,-0.17855987,-0.06638709,-0.3003891,0.078873865,0.22537805
8,-0.18339236,-0.10839903,-0.17338125,0.10575383,0.33162898,0.24426465,0.1999688,0.29397637
9,-0.03366146,-0.08851643,-0.31372008,0.24149883,0.27271813,-0.23000836,-0.2354077,-0.18966028
10,-0.25607112,-0.22565924,0.30897966,0.32062703,0.12780903,-0.34398535,-0.02461687,0.2625752
11,-0.0577646,0.3157623,-0.30245563,-0.022129059,0.02128448,0.1089548,-0.31780615,0.2717113
12,-0.28529087,0.29062146,-0.24262704,0.066457644,-0.093396895,0.1831419,0.119958326,-0.14797118
13,0.009085065,-0.2319081,-0.3049025,0.18748747,-0.07062703,-0.040440172,-0.23635332,-0.1058155
14,-0.080614105,-0.121967666,-0.23643883,0.004949909,0.2293982,-0.1141984,-0.25321424,-0.30427012
15,-0.18681479,-0.3134328,-0.2959915,-0.24456649,0.02160319,-0.3088157,-0.25189394,-0.1397439
16,0.070338055,0.19995794,0.1761759,0.0657267,-0.10766635,0.2939575,0.31687775,0.26974303
17,-0.16718376,-0.0049820314,-0.17529982,-0.25135785,-0.17133825,0.049591254,-0.1829055,-0.07540305
18,0.07368025,-0.07031281,-0.043946374,-0.2175682,0.024105882,0.12998872,0.21886176,-0.032172926
19,-0.3299445,-0.24958494,0.35455596,-0.2690379,0.23941381,-0.1030891,0.2362841,0.34935334
20,0.34416533,0.13079932,0.07514525,-0.18753582,0.036730915,-0.15032387,0.10349595,0.110008165
21,-0.06552138,-0.09702118,-0.1483546,0.17832439,-0.07595122,-0.018443042,-0.07931594,0.2703014
22,0.087899916,0.12680756,0.34223685,0.02451121,0.25720024,-0.010777825,-0.21807124,0.05729235
23,0.040264215,0.31266612,-0.3341338,-0.12828836,-0.14854752,0.14650324,0.05511863,-0.10055915
24,-0.18783195,0.11240507,0.067251064,-0.28175277,0.0126210665,0.28233397,0.2536828,-0.15687734
25,0.13625637,-0.07031747,0.07143768,0.1991607,0.33012396,0.24132642,-0.19203803,-0.062057573
26,-0.16833869,0.19701658,-0.051649872,0.02773637,-0.023509135,-0.16213852,-0.18836686,-0.078655675
27,-0.27946916,0.07352712,-0.34561244,-0.09255086,0.018047823,0.09845906,-0.051994536,-0.1593135
28,0.24332541,0.23754683,-0.21384448,0.14444967,-0.0009274574,0.080104746,0.15939054,-0.090809934
29,0.06953188,0.23081449,0.14930536,-0.092157125,-0.058189064,-0.076095164,-0.26997676,0.0032484895
30,0.12135069,0.16529784,0.10060763,-0.32004416,0.009040102,-0.1257842,-0.20065445,0.12958151
31,-0.2624313,0.1958251,-0.3451577,-0.2815567,0.20091648,0.1726022,-0.018094426,0.14485696
